sequence,episode_id,condition,object_name,target_class,expected_strategy,instance_id,replicate,distractor,instruction
1,NOR_BOTTLE_R01,normal,bottle,bottle,medium,A,1,,"Put bottle in the marked target square, at the CENTER mark, in its nominal orientation. Normal laboratory lighting; no other object in view."
2,NOR_SCISSORS_R03,normal,scissors,scissors,hard,A,3,,"Put scissors in the marked target square, 3 cm RIGHT of center, in its nominal orientation. Normal laboratory lighting; no other object in view."
3,NOR_SCISSORS_R01,normal,scissors,scissors,hard,A,1,,"Put scissors in the marked target square, at the CENTER mark, in its nominal orientation. Normal laboratory lighting; no other object in view."
4,NOR_SCISSORS_R02,normal,scissors,scissors,hard,A,2,,"Put scissors in the marked target square, 3 cm LEFT of center, in its nominal orientation. Normal laboratory lighting; no other object in view."
5,NOR_BANANA_R03,normal,banana,banana,soft,A,3,,"Put banana in the marked target square, 3 cm RIGHT of center, in its nominal orientation. Normal laboratory lighting; no other object in view."
6,NOR_BANANA_R01,normal,banana,banana,soft,A,1,,"Put banana in the marked target square, at the CENTER mark, in its nominal orientation. Normal laboratory lighting; no other object in view."
7,NOR_SCISSORS_R05,normal,scissors,scissors,hard,A,5,,"Put scissors in the marked target square, 3 cm AWAY from the camera from center, in its nominal orientation. Normal laboratory lighting; no other object in view."
8,NOR_BOTTLE_R03,normal,bottle,bottle,medium,A,3,,"Put bottle in the marked target square, 3 cm RIGHT of center, in its nominal orientation. Normal laboratory lighting; no other object in view."
9,NOR_BOTTLE_R05,normal,bottle,bottle,medium,A,5,,"Put bottle in the marked target square, 3 cm AWAY from the camera from center, in its nominal orientation. Normal laboratory lighting; no other object in view."
10,NOR_SCISSORS_R04,normal,scissors,scissors,hard,A,4,,"Put scissors in the marked target square, 3 cm TOWARD the camera from center, in its nominal orientation. Normal laboratory lighting; no other object in view."
11,NOR_BOTTLE_R04,normal,bottle,bottle,medium,A,4,,"Put bottle in the marked target square, 3 cm TOWARD the camera from center, in its nominal orientation. Normal laboratory lighting; no other object in view."
12,NOR_BANANA_R05,normal,banana,banana,soft,A,5,,"Put banana in the marked target square, 3 cm AWAY from the camera from center, in its nominal orientation. Normal laboratory lighting; no other object in view."
13,NOR_BOTTLE_R02,normal,bottle,bottle,medium,A,2,,"Put bottle in the marked target square, 3 cm LEFT of center, in its nominal orientation. Normal laboratory lighting; no other object in view."
14,NOR_BANANA_R04,normal,banana,banana,soft,A,4,,"Put banana in the marked target square, 3 cm TOWARD the camera from center, in its nominal orientation. Normal laboratory lighting; no other object in view."
15,NOR_BANANA_R02,normal,banana,banana,soft,A,2,,"Put banana in the marked target square, 3 cm LEFT of center, in its nominal orientation. Normal laboratory lighting; no other object in view."
16,DIM_BOTTLE_R01,dim,bottle,bottle,medium,A,1,,"Put bottle in the marked target square, at the CENTER mark, in its nominal orientation. Dim illumination (target approximately 50-100 lux); no distractor."
17,DIM_BOTTLE_R03,dim,bottle,bottle,medium,A,3,,"Put bottle in the marked target square, 3 cm RIGHT of center, in its nominal orientation. Dim illumination (target approximately 50-100 lux); no distractor."
18,DIM_SCISSORS_R01,dim,scissors,scissors,hard,A,1,,"Put scissors in the marked target square, at the CENTER mark, in its nominal orientation. Dim illumination (target approximately 50-100 lux); no distractor."
19,DIM_BOTTLE_R05,dim,bottle,bottle,medium,A,5,,"Put bottle in the marked target square, 3 cm AWAY from the camera from center, in its nominal orientation. Dim illumination (target approximately 50-100 lux); no distractor."
20,DIM_SCISSORS_R03,dim,scissors,scissors,hard,A,3,,"Put scissors in the marked target square, 3 cm RIGHT of center, in its nominal orientation. Dim illumination (target approximately 50-100 lux); no distractor."
21,DIM_BOTTLE_R02,dim,bottle,bottle,medium,A,2,,"Put bottle in the marked target square, 3 cm LEFT of center, in its nominal orientation. Dim illumination (target approximately 50-100 lux); no distractor."
22,DIM_SCISSORS_R02,dim,scissors,scissors,hard,A,2,,"Put scissors in the marked target square, 3 cm LEFT of center, in its nominal orientation. Dim illumination (target approximately 50-100 lux); no distractor."
23,DIM_BANANA_R02,dim,banana,banana,soft,A,2,,"Put banana in the marked target square, 3 cm LEFT of center, in its nominal orientation. Dim illumination (target approximately 50-100 lux); no distractor."
24,DIM_BANANA_R03,dim,banana,banana,soft,A,3,,"Put banana in the marked target square, 3 cm RIGHT of center, in its nominal orientation. Dim illumination (target approximately 50-100 lux); no distractor."
25,DIM_BANANA_R01,dim,banana,banana,soft,A,1,,"Put banana in the marked target square, at the CENTER mark, in its nominal orientation. Dim illumination (target approximately 50-100 lux); no distractor."
26,DIM_SCISSORS_R04,dim,scissors,scissors,hard,A,4,,"Put scissors in the marked target square, 3 cm TOWARD the camera from center, in its nominal orientation. Dim illumination (target approximately 50-100 lux); no distractor."
27,DIM_SCISSORS_R05,dim,scissors,scissors,hard,A,5,,"Put scissors in the marked target square, 3 cm AWAY from the camera from center, in its nominal orientation. Dim illumination (target approximately 50-100 lux); no distractor."
28,DIM_BANANA_R04,dim,banana,banana,soft,A,4,,"Put banana in the marked target square, 3 cm TOWARD the camera from center, in its nominal orientation. Dim illumination (target approximately 50-100 lux); no distractor."
29,DIM_BANANA_R05,dim,banana,banana,soft,A,5,,"Put banana in the marked target square, 3 cm AWAY from the camera from center, in its nominal orientation. Dim illumination (target approximately 50-100 lux); no distractor."
30,DIM_BOTTLE_R04,dim,bottle,bottle,medium,A,4,,"Put bottle in the marked target square, 3 cm TOWARD the camera from center, in its nominal orientation. Dim illumination (target approximately 50-100 lux); no distractor."
31,BKL_SCISSORS_R02,backlight,scissors,scissors,hard,A,2,,"Put scissors in the marked target square, 3 cm LEFT of center, in its nominal orientation. Put a bright lamp behind the object, aimed generally toward camera."
32,BKL_BANANA_R02,backlight,banana,banana,soft,A,2,,"Put banana in the marked target square, 3 cm LEFT of center, in its nominal orientation. Put a bright lamp behind the object, aimed generally toward camera."
33,BKL_BOTTLE_R01,backlight,bottle,bottle,medium,A,1,,"Put bottle in the marked target square, at the CENTER mark, in its nominal orientation. Put a bright lamp behind the object, aimed generally toward camera."
34,BKL_BOTTLE_R04,backlight,bottle,bottle,medium,A,4,,"Put bottle in the marked target square, 3 cm TOWARD the camera from center, in its nominal orientation. Put a bright lamp behind the object, aimed generally toward camera."
35,BKL_BANANA_R04,backlight,banana,banana,soft,A,4,,"Put banana in the marked target square, 3 cm TOWARD the camera from center, in its nominal orientation. Put a bright lamp behind the object, aimed generally toward camera."
36,BKL_BOTTLE_R02,backlight,bottle,bottle,medium,A,2,,"Put bottle in the marked target square, 3 cm LEFT of center, in its nominal orientation. Put a bright lamp behind the object, aimed generally toward camera."
37,BKL_SCISSORS_R03,backlight,scissors,scissors,hard,A,3,,"Put scissors in the marked target square, 3 cm RIGHT of center, in its nominal orientation. Put a bright lamp behind the object, aimed generally toward camera."
38,BKL_SCISSORS_R01,backlight,scissors,scissors,hard,A,1,,"Put scissors in the marked target square, at the CENTER mark, in its nominal orientation. Put a bright lamp behind the object, aimed generally toward camera."
39,BKL_BOTTLE_R03,backlight,bottle,bottle,medium,A,3,,"Put bottle in the marked target square, 3 cm RIGHT of center, in its nominal orientation. Put a bright lamp behind the object, aimed generally toward camera."
40,BKL_SCISSORS_R05,backlight,scissors,scissors,hard,A,5,,"Put scissors in the marked target square, 3 cm AWAY from the camera from center, in its nominal orientation. Put a bright lamp behind the object, aimed generally toward camera."
41,BKL_BOTTLE_R05,backlight,bottle,bottle,medium,A,5,,"Put bottle in the marked target square, 3 cm AWAY from the camera from center, in its nominal orientation. Put a bright lamp behind the object, aimed generally toward camera."
42,BKL_BANANA_R03,backlight,banana,banana,soft,A,3,,"Put banana in the marked target square, 3 cm RIGHT of center, in its nominal orientation. Put a bright lamp behind the object, aimed generally toward camera."
43,BKL_BANANA_R01,backlight,banana,banana,soft,A,1,,"Put banana in the marked target square, at the CENTER mark, in its nominal orientation. Put a bright lamp behind the object, aimed generally toward camera."
44,BKL_BANANA_R05,backlight,banana,banana,soft,A,5,,"Put banana in the marked target square, 3 cm AWAY from the camera from center, in its nominal orientation. Put a bright lamp behind the object, aimed generally toward camera."
45,BKL_SCISSORS_R04,backlight,scissors,scissors,hard,A,4,,"Put scissors in the marked target square, 3 cm TOWARD the camera from center, in its nominal orientation. Put a bright lamp behind the object, aimed generally toward camera."
46,OCC_BANANA_R02,occlusion50,banana,banana,soft,A,2,,"Put banana in the marked target square, 3 cm LEFT of center, in its nominal orientation. Cover about 50% of its visible silhouette from the RIGHT with a matte card."
47,OCC_BOTTLE_R03,occlusion50,bottle,bottle,medium,A,3,,"Put bottle in the marked target square, 3 cm RIGHT of center, in its nominal orientation. Cover about 50% of its visible silhouette from the LEFT with a matte card."
48,OCC_BANANA_R05,occlusion50,banana,banana,soft,A,5,,"Put banana in the marked target square, 3 cm AWAY from the camera from center, in its nominal orientation. Cover about 50% of its visible silhouette from the LEFT with a matte card."
49,OCC_BOTTLE_R01,occlusion50,bottle,bottle,medium,A,1,,"Put bottle in the marked target square, at the CENTER mark, in its nominal orientation. Cover about 50% of its visible silhouette from the LEFT with a matte card."
