schedule_id,seed,subject_id,session_id,trial_order,object_order,object_id,repetition,condition_position,condition,trial_id
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P01,P01_S1,1,1,apple,1,1,I,P01_T01
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P01,P01_S1,2,1,apple,1,2,I_H,P01_T02
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P01,P01_S1,3,1,apple,1,3,I_H_G,P01_T03
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P01,P01_S1,4,1,apple,1,4,I_G,P01_T04
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P01,P01_S1,5,1,apple,2,1,I_G,P01_T05
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P01,P01_S1,6,1,apple,2,2,I_H_G,P01_T06
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P01,P01_S1,7,1,apple,2,3,I_H,P01_T07
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P01,P01_S1,8,1,apple,2,4,I,P01_T08
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P01,P01_S1,9,2,cup,1,1,I_H,P01_T09
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P01,P01_S1,10,2,cup,1,2,I_G,P01_T10
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P01,P01_S1,11,2,cup,1,3,I,P01_T11
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P01,P01_S1,12,2,cup,1,4,I_H_G,P01_T12
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P01,P01_S1,13,2,cup,2,1,I_H_G,P01_T13
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P01,P01_S1,14,2,cup,2,2,I,P01_T14
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P01,P01_S1,15,2,cup,2,3,I_G,P01_T15
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P01,P01_S1,16,2,cup,2,4,I_H,P01_T16
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P01,P01_S1,17,3,bottle,1,1,I_G,P01_T17
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P01,P01_S1,18,3,bottle,1,2,I_H_G,P01_T18
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P01,P01_S1,19,3,bottle,1,3,I_H,P01_T19
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P01,P01_S1,20,3,bottle,1,4,I,P01_T20
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P01,P01_S1,21,3,bottle,2,1,I,P01_T21
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P01,P01_S1,22,3,bottle,2,2,I_H,P01_T22
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P01,P01_S1,23,3,bottle,2,3,I_H_G,P01_T23
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P01,P01_S1,24,3,bottle,2,4,I_G,P01_T24
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P01,P01_S2,25,4,mouse,1,1,I_H_G,P01_T25
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P01,P01_S2,26,4,mouse,1,2,I,P01_T26
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P01,P01_S2,27,4,mouse,1,3,I_G,P01_T27
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P01,P01_S2,28,4,mouse,1,4,I_H,P01_T28
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P01,P01_S2,29,4,mouse,2,1,I_H,P01_T29
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P01,P01_S2,30,4,mouse,2,2,I_G,P01_T30
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P01,P01_S2,31,4,mouse,2,3,I,P01_T31
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P01,P01_S2,32,4,mouse,2,4,I_H_G,P01_T32
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P01,P01_S2,33,5,scissors,1,1,I,P01_T33
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P01,P01_S2,34,5,scissors,1,2,I_H,P01_T34
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P01,P01_S2,35,5,scissors,1,3,I_H_G,P01_T35
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P01,P01_S2,36,5,scissors,1,4,I_G,P01_T36
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P01,P01_S2,37,5,scissors,2,1,I_G,P01_T37
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P01,P01_S2,38,5,scissors,2,2,I_H_G,P01_T38
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P01,P01_S2,39,5,scissors,2,3,I_H,P01_T39
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P01,P01_S2,40,5,scissors,2,4,I,P01_T40
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P01,P01_S2,41,6,banana,1,1,I_H,P01_T41
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P01,P01_S2,42,6,banana,1,2,I_G,P01_T42
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P01,P01_S2,43,6,banana,1,3,I,P01_T43
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P01,P01_S2,44,6,banana,1,4,I_H_G,P01_T44
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P01,P01_S2,45,6,banana,2,1,I_H_G,P01_T45
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P01,P01_S2,46,6,banana,2,2,I,P01_T46
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P01,P01_S2,47,6,banana,2,3,I_G,P01_T47
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P01,P01_S2,48,6,banana,2,4,I_H,P01_T48
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P02,P02_S1,1,1,bottle,1,1,I_H,P02_T01
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P02,P02_S1,2,1,bottle,1,2,I_G,P02_T02
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P02,P02_S1,3,1,bottle,1,3,I,P02_T03
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P02,P02_S1,4,1,bottle,1,4,I_H_G,P02_T04
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P02,P02_S1,5,1,bottle,2,1,I_H_G,P02_T05
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P02,P02_S1,6,1,bottle,2,2,I,P02_T06
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P02,P02_S1,7,1,bottle,2,3,I_G,P02_T07
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P02,P02_S1,8,1,bottle,2,4,I_H,P02_T08
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P02,P02_S1,9,2,cup,1,1,I_G,P02_T09
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P02,P02_S1,10,2,cup,1,2,I_H_G,P02_T10
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P02,P02_S1,11,2,cup,1,3,I_H,P02_T11
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P02,P02_S1,12,2,cup,1,4,I,P02_T12
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P02,P02_S1,13,2,cup,2,1,I,P02_T13
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P02,P02_S1,14,2,cup,2,2,I_H,P02_T14
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P02,P02_S1,15,2,cup,2,3,I_H_G,P02_T15
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P02,P02_S1,16,2,cup,2,4,I_G,P02_T16
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P02,P02_S1,17,3,mouse,1,1,I_H_G,P02_T17
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P02,P02_S1,18,3,mouse,1,2,I,P02_T18
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P02,P02_S1,19,3,mouse,1,3,I_G,P02_T19
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P02,P02_S1,20,3,mouse,1,4,I_H,P02_T20
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P02,P02_S1,21,3,mouse,2,1,I_H,P02_T21
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P02,P02_S1,22,3,mouse,2,2,I_G,P02_T22
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P02,P02_S1,23,3,mouse,2,3,I,P02_T23
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P02,P02_S1,24,3,mouse,2,4,I_H_G,P02_T24
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P02,P02_S2,25,4,banana,1,1,I,P02_T25
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P02,P02_S2,26,4,banana,1,2,I_H,P02_T26
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P02,P02_S2,27,4,banana,1,3,I_H_G,P02_T27
MECH-D-26-00641-ABLATION-v1-seed260641,260641,P02,P02_S2,28,4,banana,1,4,I_G,P02_T28
