schedule_id,seed,subject_id,session_id,trial_order,object_order,object_id,repetition,condition_position,condition,trial_id
MECH-D-26-00641-PILOT-v1-seed260642,260642,PILOT01,PILOT01_S1,1,1,cup,1,1,I,PILOT01_T01
MECH-D-26-00641-PILOT-v1-seed260642,260642,PILOT01,PILOT01_S1,2,1,cup,1,2,I_H,PILOT01_T02
MECH-D-26-00641-PILOT-v1-seed260642,260642,PILOT01,PILOT01_S1,3,1,cup,1,3,I_H_G,PILOT01_T03
MECH-D-26-00641-PILOT-v1-seed260642,260642,PILOT01,PILOT01_S1,4,1,cup,1,4,I_G,PILOT01_T04
MECH-D-26-00641-PILOT-v1-seed260642,260642,PILOT01,PILOT01_S1,5,2,apple,1,1,I_H,PILOT01_T05
MECH-D-26-00641-PILOT-v1-seed260642,260642,PILOT01,PILOT01_S1,6,2,apple,1,2,I_G,PILOT01_T06
MECH-D-26-00641-PILOT-v1-seed260642,260642,PILOT01,PILOT01_S1,7,2,apple,1,3,I,PILOT01_T07
MECH-D-26-00641-PILOT-v1-seed260642,260642,PILOT01,PILOT01_S1,8,2,apple,1,4,I_H_G,PILOT01_T08
MECH-D-26-00641-PILOT-v1-seed260642,260642,PILOT01,PILOT01_S1,9,3,mouse,1,1,I_G,PILOT01_T09
MECH-D-26-00641-PILOT-v1-seed260642,260642,PILOT01,PILOT01_S1,10,3,mouse,1,2,I_H_G,PILOT01_T10
MECH-D-26-00641-PILOT-v1-seed260642,260642,PILOT01,PILOT01_S1,11,3,mouse,1,3,I_H,PILOT01_T11
MECH-D-26-00641-PILOT-v1-seed260642,260642,PILOT01,PILOT01_S1,12,3,mouse,1,4,I,PILOT01_T12
MECH-D-26-00641-PILOT-v1-seed260642,260642,PILOT02,PILOT02_S1,1,1,cup,1,1,I_H,PILOT02_T01
MECH-D-26-00641-PILOT-v1-seed260642,260642,PILOT02,PILOT02_S1,2,1,cup,1,2,I_G,PILOT02_T02
MECH-D-26-00641-PILOT-v1-seed260642,260642,PILOT02,PILOT02_S1,3,1,cup,1,3,I,PILOT02_T03
MECH-D-26-00641-PILOT-v1-seed260642,260642,PILOT02,PILOT02_S1,4,1,cup,1,4,I_H_G,PILOT02_T04
MECH-D-26-00641-PILOT-v1-seed260642,260642,PILOT02,PILOT02_S1,5,2,mouse,1,1,I_G,PILOT02_T05
MECH-D-26-00641-PILOT-v1-seed260642,260642,PILOT02,PILOT02_S1,6,2,mouse,1,2,I_H_G,PILOT02_T06
MECH-D-26-00641-PILOT-v1-seed260642,260642,PILOT02,PILOT02_S1,7,2,mouse,1,3,I_H,PILOT02_T07
MECH-D-26-00641-PILOT-v1-seed260642,260642,PILOT02,PILOT02_S1,8,2,mouse,1,4,I,PILOT02_T08
MECH-D-26-00641-PILOT-v1-seed260642,260642,PILOT02,PILOT02_S1,9,3,apple,1,1,I_H_G,PILOT02_T09
MECH-D-26-00641-PILOT-v1-seed260642,260642,PILOT02,PILOT02_S1,10,3,apple,1,2,I,PILOT02_T10
MECH-D-26-00641-PILOT-v1-seed260642,260642,PILOT02,PILOT02_S1,11,3,apple,1,3,I_G,PILOT02_T11
MECH-D-26-00641-PILOT-v1-seed260642,260642,PILOT02,PILOT02_S1,12,3,apple,1,4,I_H,PILOT02_T12
